File Name,Peak [CNN],Prediction Value,Peak [Worker],Matching
small ng samp 9_(1.31579_1.31579).csv,1,0.9749881625175476,1,o
small ng samp 9_(1.31579_11.8421).csv,0,0.1200233101844787,0,o
small ng samp 9_(1.31579_14.4737).csv,1,0.7501913905143738,1,o
small ng samp 9_(1.31579_17.1053).csv,0,0.0366842001676559,0,o
small ng samp 9_(1.31579_19.7368).csv,1,0.9963294863700868,1,o
small ng samp 9_(1.31579_22.3684).csv,1,0.986341655254364,1,o
small ng samp 9_(1.31579_25.0).csv,1,0.8337451219558716,0,x
small ng samp 9_(1.31579_3.94737).csv,1,0.8074286580085754,1,o
small ng samp 9_(1.31579_6.57895).csv,1,0.9792979955673218,1,o
small ng samp 9_(1.31579_9.21053).csv,0,0.3673802614212036,0,o
small ng samp 9_(11.8421_-1.31579).csv,1,0.9888823628425598,1,o
small ng samp 9_(11.8421_-11.8421).csv,0,0.004121258854866,0,o
small ng samp 9_(11.8421_-14.4737).csv,0,0.308040976524353,1,x
small ng samp 9_(11.8421_-17.1053).csv,1,0.8216792941093445,1,o
small ng samp 9_(11.8421_-19.7368).csv,0,0.0121974647045135,0,o
small ng samp 9_(11.8421_-22.3684).csv,0,0.0012717872159555,0,o
small ng samp 9_(11.8421_-25.0).csv,0,0.0026733924169093,0,o
small ng samp 9_(11.8421_-3.94737).csv,1,0.9640886783599854,1,o
small ng samp 9_(11.8421_-6.57895).csv,0,0.1337525993585586,0,o
small ng samp 9_(11.8421_-9.21053).csv,0,0.0785475373268127,1,x
small ng samp 9_(11.8421_1.31579).csv,0,0.0042872717604041,0,o
small ng samp 9_(11.8421_11.8421).csv,0,0.3729962706565857,0,o
small ng samp 9_(11.8421_14.4737).csv,0,0.0268043559044599,0,o
small ng samp 9_(11.8421_17.1053).csv,0,0.0230405051261186,0,o
small ng samp 9_(11.8421_19.7368).csv,1,0.9254063963890076,1,o
small ng samp 9_(11.8421_22.3684).csv,1,0.9759880900382996,1,o
small ng samp 9_(11.8421_25.0).csv,1,0.5588067173957825,0,x
small ng samp 9_(11.8421_3.94737).csv,1,0.9923115372657776,1,o
small ng samp 9_(11.8421_6.57895).csv,0,0.0175928231328725,0,o
small ng samp 9_(11.8421_9.21053).csv,0,0.0793945789337158,0,o
small ng samp 9_(14.4737_-1.31579).csv,0,0.3398193418979645,1,x
small ng samp 9_(14.4737_-11.8421).csv,1,0.9714845418930054,1,o
small ng samp 9_(14.4737_-14.4737).csv,0,0.1246725544333458,0,o
small ng samp 9_(14.4737_-17.1053).csv,0,0.0005659984308294,0,o
small ng samp 9_(14.4737_-19.7368).csv,1,0.8075869083404541,1,o
small ng samp 9_(14.4737_-22.3684).csv,1,0.9854649901390076,1,o
small ng samp 9_(14.4737_-25.0).csv,0,0.0980651304125785,0,o
small ng samp 9_(14.4737_-3.94737).csv,1,0.8763769268989563,1,o
small ng samp 9_(14.4737_-6.57895).csv,0,0.1624589562416076,1,x
small ng samp 9_(14.4737_-9.21053).csv,0,0.0328938737511634,0,o
small ng samp 9_(14.4737_1.31579).csv,0,0.2221255600452423,1,x
small ng samp 9_(14.4737_11.8421).csv,0,0.0027084809262305,0,o
small ng samp 9_(14.4737_14.4737).csv,0,0.1578045189380645,0,o
small ng samp 9_(14.4737_17.1053).csv,1,0.9521332383155824,1,o
small ng samp 9_(14.4737_19.7368).csv,0,0.0328478701412677,0,o
small ng samp 9_(14.4737_22.3684).csv,0,0.4039908349514007,0,o
